# src_row, src_col, dst_row, dst_col, weight, edge_type
235, 295, 235, 317, 22.000, contour
235, 295, 236, 293, 2.236, contour
235, 317, 235, 339, 22.000, contour
235, 339, 235, 361, 22.000, contour
235, 361, 235, 383, 22.000, contour
235, 383, 235, 405, 22.000, contour
235, 405, 236, 407, 2.236, contour
236, 407, 238, 410, 3.606, contour
238, 410, 240, 412, 2.828, contour
240, 412, 243, 414, 3.606, contour
243, 414, 245, 415, 2.236, contour
245, 415, 265, 415, 20.000, contour
265, 415, 285, 415, 20.000, contour
285, 415, 305, 415, 20.000, contour
305, 415, 325, 415, 20.000, contour
325, 415, 345, 415, 20.000, contour
345, 415, 365, 415, 20.000, contour
365, 415, 385, 415, 20.000, contour
385, 415, 405, 415, 20.000, contour
405, 415, 407, 414, 2.236, contour
407, 414, 410, 412, 3.606, contour
410, 412, 412, 410, 2.828, contour
412, 410, 414, 407, 3.606, contour
414, 407, 415, 405, 2.236, contour
415, 405, 415, 383, 22.000, contour
415, 383, 415, 361, 22.000, contour
415, 361, 415, 339, 22.000, contour
415, 339, 415, 317, 22.000, contour
415, 317, 415, 295, 22.000, contour
415, 295, 414, 293, 2.236, contour
414, 293, 412, 290, 3.606, contour
412, 290, 410, 288, 2.828, contour
410, 288, 405, 285, 5.831, contour
405, 285, 406, 283, 2.236, contour
406, 283, 408, 279, 4.472, contour
408, 279, 412, 272, 8.062, contour
412, 272, 413, 269, 3.162, contour
413, 269, 414, 264, 5.099, contour
414, 264, 415, 255, 9.055, contour
415, 255, 415, 245, 10.000, contour
415, 245, 414, 236, 9.055, contour
414, 236, 413, 231, 5.099, contour
413, 231, 412, 228, 3.162, contour
412, 228, 406, 216, 13.416, contour
406, 216, 404, 213, 3.606, contour
404, 213, 402, 210, 3.606, contour
402, 210, 390, 198, 16.971, contour
390, 198, 387, 196, 3.606, contour
387, 196, 384, 194, 3.606, contour
384, 194, 372, 188, 13.416, contour
372, 188, 369, 187, 3.162, contour
369, 187, 364, 186, 5.099, contour
364, 186, 355, 185, 9.055, contour
355, 185, 345, 185, 10.000, contour
345, 185, 336, 186, 9.055, contour
336, 186, 331, 187, 5.099, contour
331, 187, 328, 188, 3.162, contour
328, 188, 316, 194, 13.416, contour
316, 194, 313, 196, 3.606, contour
313, 196, 310, 198, 3.606, contour
310, 198, 298, 210, 16.971, contour
298, 210, 296, 213, 3.606, contour
296, 213, 294, 216, 3.606, contour
294, 216, 288, 228, 13.416, contour
288, 228, 287, 231, 3.162, contour
287, 231, 286, 236, 5.099, contour
286, 236, 285, 245, 9.055, contour
285, 245, 285, 255, 10.000, contour
285, 255, 286, 264, 9.055, contour
286, 264, 287, 269, 5.099, contour
287, 269, 288, 272, 3.162, contour
288, 272, 295, 285, 14.765, contour
295, 285, 270, 285, 25.000, contour
270, 285, 245, 285, 25.000, contour
245, 285, 243, 286, 2.236, contour
243, 286, 240, 288, 3.606, contour
240, 288, 238, 290, 2.828, contour
238, 290, 236, 293, 3.606, contour
185, 95, 185, 115, 20.000, contour
185, 95, 186, 93, 2.236, contour
185, 115, 185, 135, 20.000, contour
185, 135, 185, 155, 20.000, contour
185, 155, 186, 157, 2.236, contour
186, 157, 188, 160, 3.606, contour
188, 160, 190, 162, 2.828, contour
190, 162, 193, 164, 3.606, contour
193, 164, 195, 165, 2.236, contour
195, 165, 216, 165, 21.000, contour
216, 165, 237, 165, 21.000, contour
237, 165, 258, 165, 21.000, contour
258, 165, 279, 165, 21.000, contour
279, 165, 300, 165, 21.000, contour
300, 165, 321, 165, 21.000, contour
321, 165, 342, 165, 21.000, contour
342, 165, 363, 165, 21.000, contour
363, 165, 384, 165, 21.000, contour
384, 165, 405, 165, 21.000, contour
405, 165, 407, 164, 2.236, contour
407, 164, 410, 162, 3.606, contour
410, 162, 412, 160, 2.828, contour
412, 160, 414, 157, 3.606, contour
414, 157, 415, 155, 2.236, contour
415, 155, 415, 135, 20.000, contour
415, 135, 415, 115, 20.000, contour
415, 115, 415, 95, 20.000, contour
415, 95, 414, 93, 2.236, contour
414, 93, 412, 90, 3.606, contour
412, 90, 410, 88, 2.828, contour
410, 88, 407, 86, 3.606, contour
407, 86, 405, 85, 2.236, contour
405, 85, 384, 85, 21.000, contour
384, 85, 363, 85, 21.000, contour
363, 85, 342, 85, 21.000, contour
342, 85, 321, 85, 21.000, contour
321, 85, 300, 85, 21.000, contour
300, 85, 279, 85, 21.000, contour
279, 85, 258, 85, 21.000, contour
258, 85, 237, 85, 21.000, contour
237, 85, 216, 85, 21.000, contour
216, 85, 195, 85, 21.000, contour
195, 85, 193, 86, 2.236, contour
193, 86, 190, 88, 3.606, contour
190, 88, 188, 90, 2.828, contour
188, 90, 186, 93, 3.606, contour
85, 95, 85, 115, 20.000, contour
85, 95, 86, 93, 2.236, contour
85, 115, 85, 136, 21.000, contour
85, 136, 85, 157, 21.000, contour
85, 157, 85, 177, 20.000, contour
85, 177, 85, 198, 21.000, contour
85, 198, 85, 219, 21.000, contour
85, 219, 85, 239, 20.000, contour
85, 239, 85, 260, 21.000, contour
85, 260, 85, 281, 21.000, contour
85, 281, 85, 301, 20.000, contour
85, 301, 85, 322, 21.000, contour
85, 322, 85, 343, 21.000, contour
85, 343, 85, 363, 20.000, contour
85, 363, 85, 384, 21.000, contour
85, 384, 85, 405, 21.000, contour
85, 405, 86, 407, 2.236, contour
86, 407, 88, 410, 3.606, contour
88, 410, 90, 412, 2.828, contour
90, 412, 93, 414, 3.606, contour
93, 414, 95, 415, 2.236, contour
95, 415, 115, 415, 20.000, contour
115, 415, 135, 415, 20.000, contour
135, 415, 155, 415, 20.000, contour
155, 415, 157, 414, 2.236, contour
157, 414, 160, 412, 3.606, contour
160, 412, 162, 410, 2.828, contour
162, 410, 164, 407, 3.606, contour
164, 407, 165, 405, 2.236, contour
165, 405, 165, 384, 21.000, contour
165, 384, 165, 363, 21.000, contour
165, 363, 165, 343, 20.000, contour
165, 343, 165, 322, 21.000, contour
165, 322, 165, 301, 21.000, contour
165, 301, 165, 281, 20.000, contour
165, 281, 165, 260, 21.000, contour
165, 260, 165, 239, 21.000, contour
165, 239, 165, 219, 20.000, contour
165, 219, 165, 198, 21.000, contour
165, 198, 165, 177, 21.000, contour
165, 177, 165, 157, 20.000, contour
165, 157, 165, 136, 21.000, contour
165, 136, 165, 115, 21.000, contour
165, 115, 165, 95, 20.000, contour
165, 95, 164, 93, 2.236, contour
164, 93, 162, 90, 3.606, contour
162, 90, 160, 88, 2.828, contour
160, 88, 157, 86, 3.606, contour
157, 86, 155, 85, 2.236, contour
155, 85, 135, 85, 20.000, contour
135, 85, 115, 85, 20.000, contour
115, 85, 95, 85, 20.000, contour
95, 85, 93, 86, 2.236, contour
