# row, col (pixel coordinates)
14, 14
14, 34
14, 54
14, 75
14, 95
14, 116
14, 136
14, 157
14, 177
14, 198
14, 218
14, 239
14, 259
14, 280
14, 300
14, 321
14, 341
14, 362
14, 382
14, 403
14, 423
14, 444
14, 464
14, 485
34, 14
34, 485
54, 14
54, 485
75, 14
75, 485
85, 95
85, 115
85, 136
85, 157
85, 177
85, 198
85, 219
85, 239
85, 260
85, 281
85, 301
85, 322
85, 343
85, 363
85, 384
85, 405
86, 93
86, 407
88, 90
88, 410
90, 88
90, 412
93, 86
93, 414
95, 14
95, 85
95, 415
95, 485
115, 85
115, 415
116, 14
116, 485
135, 85
135, 415
136, 14
136, 485
155, 85
155, 415
157, 14
157, 86
157, 414
157, 485
160, 88
160, 412
162, 90
162, 410
164, 93
164, 407
165, 95
165, 115
165, 136
165, 157
165, 177
165, 198
165, 219
165, 239
165, 260
165, 281
165, 301
165, 322
165, 343
165, 363
165, 384
165, 405
177, 14
177, 485
185, 95
185, 115
185, 135
185, 155
186, 93
186, 157
188, 90
188, 160
190, 88
190, 162
193, 86
193, 164
195, 85
195, 165
198, 14
198, 485
216, 85
216, 165
218, 14
218, 485
235, 295
235, 317
235, 339
235, 361
235, 383
235, 405
236, 293
236, 407
237, 85
237, 165
238, 290
238, 410
239, 14
239, 485
240, 288
240, 412
243, 286
243, 414
245, 285
245, 415
258, 85
258, 165
259, 14
259, 485
265, 415
270, 285
279, 85
279, 165
280, 14
280, 485
285, 245
285, 255
285, 415
286, 236
286, 264
287, 231
287, 269
288, 228
288, 272
294, 216
295, 285
296, 213
298, 210
300, 14
300, 85
300, 165
300, 485
305, 415
310, 198
313, 196
316, 194
321, 14
321, 85
321, 165
321, 485
325, 415
328, 188
331, 187
336, 186
341, 14
341, 485
342, 85
342, 165
345, 185
345, 415
355, 185
362, 14
362, 485
363, 85
363, 165
364, 186
365, 415
369, 187
372, 188
382, 14
382, 485
384, 85
384, 165
384, 194
385, 415
387, 196
390, 198
402, 210
403, 14
403, 485
404, 213
405, 85
405, 165
405, 285
405, 415
406, 216
406, 283
407, 86
407, 164
407, 414
408, 279
410, 88
410, 162
410, 288
410, 412
412, 90
412, 160
412, 228
412, 272
412, 290
412, 410
413, 231
413, 269
414, 93
414, 157
414, 236
414, 264
414, 293
414, 407
415, 95
415, 115
415, 135
415, 155
415, 245
415, 255
415, 295
415, 317
415, 339
415, 361
415, 383
415, 405
423, 14
423, 485
444, 14
444, 485
464, 14
464, 485
485, 14
485, 34
485, 54
485, 75
485, 95
485, 116
485, 136
485, 157
485, 177
485, 198
485, 218
485, 239
485, 259
485, 280
485, 300
485, 321
485, 341
485, 362
485, 382
485, 403
485, 423
485, 444
485, 464
485, 485
